CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CD_CONTA;DS_CONTA;VL_CONTA
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.06;Vlr Adicionado Recebido em Transferência;5314914
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.06.01;Resultado de Equivalência Patrimonial;2062090
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.06.02;Receitas Financeiras;3252824
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.06.03;Outros;0
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.07;Valor Adicionado Total a Distribuir;29275761
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08;Distribuição do Valor Adicionado;29275761
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.01;Pessoal;4784354
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.01.01;Remuneração Direta;2571324
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.01.02;Benefícios;652745
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.01.03;F.G.T.S.;1274381
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.01.04;Outros;285904
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.02;Impostos, Taxas e Contribuições;1968724
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.02.01;Federais;908320
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.02.02;Estaduais;1053742
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.02.03;Municipais;6662
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.03;Remuneração de Capitais de Terceiros;15778846
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.03.01;Juros;15586959
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.03.02;Aluguéis;80786
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.03.03;Outras;111101
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.03.03.01;Doações e contribuições;111101
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.04;Remuneração de Capitais Próprios;4394861
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.04.01;Juros sobre o Capital Próprio;0
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.04.02;Dividendos;1080571
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.04.03;Lucros Retidos / Prejuízo do Período;3469203
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.04.04;Part. Não Controladores nos Lucros Retidos;-154913
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.05;Outros;2348976
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.08.05.01;Encargos setoriais;2348976
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.01;Receitas;409952
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.01.01;Vendas de Mercadorias, Produtos e Serviços;399988
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.01.02;Outras Receitas;7744
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.01.02.01;Receita de Alienação de Ativo Imobilizado;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.01.02.02;Outros;7737
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.01.02.03;Repactuação do Risco Hidrológico;7
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.01.03;Receitas refs. à Construção de Ativos Próprios;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;2220
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.02;Insumos Adquiridos de Terceiros;-152464
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.02.01;Custos Prods., Mercs. e Servs. Vendidos;-37650
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.02.02;Materiais, Energia, Servs. de Terceiros e Outros;-114481
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.02.03;Perda/Recuperação de Valores Ativos;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.02.04;Outros;-333
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.02.04.01;Provisões;-333
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.02.04.02;Outros;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.03;Valor Adicionado Bruto;257488
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.04;Retenções;-8058
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.04.01;Depreciação, Amortização e Exaustão;-8058
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.04.02;Outras;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.05;Valor Adicionado Líquido Produzido;249430
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.06;Vlr Adicionado Recebido em Transferência;179277
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.06.01;Resultado de Equivalência Patrimonial;88267
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.06.02;Receitas Financeiras;91010
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.06.03;Outros;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.06.03.01;Dividendos Recebidos;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.07;Valor Adicionado Total a Distribuir;428707
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08;Distribuição do Valor Adicionado;428707
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.01;Pessoal;37151
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.01.01;Remuneração Direta;32884
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.01.02;Benefícios;3229
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.01.03;F.G.T.S.;1038
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.01.04;Outros;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.01.04.01;Participação nos Resultados;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.02;Impostos, Taxas e Contribuições;103223
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.02.01;Federais;98912
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.02.02;Estaduais;4311
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.02.03;Municipais;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.03;Remuneração de Capitais de Terceiros;53310
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.03.01;Juros;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.03.02;Aluguéis;37929
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.03.03;Outras;15381
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.03.03.01;Despesas Financeiras;2244
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.03.03.02;Participações e Contribuições (Partes Beneficiárias);13137
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.04;Remuneração de Capitais Próprios;235023
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.04.01;Juros sobre o Capital Próprio;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.04.02;Dividendos;0
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.04.03;Lucros Retidos / Prejuízo do Período;183510
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.04.04;Part. Não Controladores nos Lucros Retidos;51513
00.070.698/0001-11;2023;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451;7.08.05;Outros;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.01;Receitas;4046645
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.01.01;Vendas de Mercadorias, Produtos e Serviços;3588865
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.01.02;Outras Receitas;37685
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.01.03;Receitas refs. à Construção de Ativos Próprios;420095
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.02;Insumos Adquiridos de Terceiros;-1822291
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.02.01;Custos Prods., Mercs. e Servs. Vendidos;-1178814
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.02.02;Materiais, Energia, Servs. de Terceiros e Outros;-547664
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.02.03;Perda/Recuperação de Valores Ativos;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.02.04;Outros;-95813
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.02.04.01;Outros Custos Operacionais;-95813
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.03;Valor Adicionado Bruto;2224354
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.04;Retenções;-604455
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.04.01;Depreciação, Amortização e Exaustão;-604455
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.04.02;Outras;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.04.02.01;Amortização de Intangível de Concessão;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.04.02.02;Amortização de Intangível e Mais Valia Gerado em Aquisições;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.05;Valor Adicionado Líquido Produzido;1619899
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.06;Vlr Adicionado Recebido em Transferência;293525
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.06.01;Resultado de Equivalência Patrimonial;65575
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.06.02;Receitas Financeiras;227950
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.06.03;Outros;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.07;Valor Adicionado Total a Distribuir;1913424
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08;Distribuição do Valor Adicionado;1913424
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.01;Pessoal;182770
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.01.01;Remuneração Direta;168431
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.01.02;Benefícios;4908
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.01.03;F.G.T.S.;9431
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.01.04;Outros;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.01.04.01;Participação dos trabalhadores nos lucros e resultados;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.01.04.02;Previdência privada;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.02;Impostos, Taxas e Contribuições;635710
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.02.01;Federais;390969
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.02.02;Estaduais;243670
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.02.03;Municipais;1071
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.03;Remuneração de Capitais de Terceiros;760854
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.03.01;Juros;758718
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.03.02;Aluguéis;2136
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.03.03;Outras;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.04;Remuneração de Capitais Próprios;334090
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.04.01;Juros sobre o Capital Próprio;0
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.04.02;Dividendos;4
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.04.03;Lucros Retidos / Prejuízo do Período;133818
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.04.04;Part. Não Controladores nos Lucros Retidos;200268
00.194.724/0001-13;2023;2;AES BRASIL OPERAÇÕES S.A.;26174;7.08.05;Outros;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.01;Receitas;22082
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.01.01;Vendas de Mercadorias, Produtos e Serviços;22082
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.01.02;Outras Receitas;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.01.03;Receitas refs. à Construção de Ativos Próprios;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.02;Insumos Adquiridos de Terceiros;-20971
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.02.01;Custos Prods., Mercs. e Servs. Vendidos;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.02.02;Materiais, Energia, Servs. de Terceiros e Outros;-20971
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.02.03;Perda/Recuperação de Valores Ativos;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.02.04;Outros;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.03;Valor Adicionado Bruto;1111
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.04;Retenções;-204
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.04.01;Depreciação, Amortização e Exaustão;-204
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.04.02;Outras;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.05;Valor Adicionado Líquido Produzido;907
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.06;Vlr Adicionado Recebido em Transferência;2432
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.06.01;Resultado de Equivalência Patrimonial;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.06.02;Receitas Financeiras;2385
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.06.03;Outros;47
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.06.03.01;Despesas Financeiras;0
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.06.03.02;Ganho (Perda) de Capital;47
00.359.742/0001-08;2023;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423;7.06.03.03;Dividendos;0
