CNPJ_CIA,ANO,VERSAO,DENOM_CIA,CD_CVM,ESCALA_MOEDA,CD_CONTA,DS_CONTA,VL_CONTA
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09,Distribuição do Valor Adicionado,36549422
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.01,Pessoal,11799456
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.01.01,Remuneração Direta,7529479
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.01.02,Benefícios,1559377
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.01.03,F.G.T.S.,527295
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.01.04,Outros,2183305
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.01.04.01,Participações no Lucro,1384531
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.01.04.02,Outros Encargos,798774
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.02,"Impostos, Taxas e Contribuições",10755978
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.02.01,Federais,10095627
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.02.02,Estaduais,733
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.02.03,Municipais,659618
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.03,Remuneração de Capitais de Terceiros,509728
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.03.01,Aluguéis,509728
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.03.02,Outras,0
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.04,Remuneração de Capitais Próprios,13484260
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.04.01,Juros sobre o Capital Próprio,1857866
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.04.02,Dividendos,2201143
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.04.03,Lucros Retidos / Prejuízo do Período,9388801
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.04.04,Part. Não Controladores nos Lucros Retidos,36450
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.09.05,Outros,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.01,Receitas,27037574
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.01.01,"Vendas de Mercadorias, Produtos e Serviços",25831183
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.01.02,Outras Receitas,1206391
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.01.03,Receitas refs. à Construção de Ativos Próprios,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.01.04,Provisão/Reversão de Créds. Liquidação Duvidosa,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.02,Insumos Adquiridos de Terceiros,-13225017
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.02.01,"Custos Prods., Mercs. e Servs. Vendidos",0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.02.02,"Materiais, Energia, Servs. de Terceiros e Outros",-7569873
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.02.03,Perda/Recuperação de Valores Ativos,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.02.04,Outros,-5655144
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.02.04.01,Encargos setoriais,-1317463
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.02.04.02,Energia comprada para revenda,-3581396
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.02.04.03,Combustível para produção de energia elétrica,-756285
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.03,Valor Adicionado Bruto,13812557
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.04,Retenções,-3764652
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.04.01,"Depreciação, Amortização e Exaustão",-1624246
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.04.02,Outras,-2140406
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.04.02.01,Provisões operacionais,-2140406
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.05,Valor Adicionado Líquido Produzido,10047905
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.06,Vlr Adicionado Recebido em Transferência,5392233
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.06.01,Resultado de Equivalência Patrimonial,1571031
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.06.02,Receitas Financeiras,3821202
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.06.03,Outros,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.07,Valor Adicionado Total a Distribuir,15440138
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08,Distribuição do Valor Adicionado,15440138
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.01,Pessoal,4750400
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.01.01,Remuneração Direta,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.01.02,Benefícios,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.01.03,F.G.T.S.,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.01.04,Outros,4750400
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.01.04.01,"Pessoal, Encargos e honorários",4251184
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.01.04.02,Participação de empregaodos nos lucros,284534
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.01.04.03,Plano de aposentadoria e pensãp,214682
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.02,"Impostos, Taxas e Contribuições",1742321
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.02.01,Federais,1742321
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.02.02,Estaduais,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.02.03,Municipais,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.03,Remuneração de Capitais de Terceiros,7697277
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.03.01,Juros,7459299
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.03.02,Aluguéis,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.03.03,Outras,237978
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.03.03.01,Doações e contribuições,237978
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.04,Remuneração de Capitais Próprios,1250140
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.04.01,Juros sobre o Capital Próprio,370755
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.04.02,Dividendos,0
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.04.03,Lucros Retidos / Prejuízo do Período,338673
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.04.04,Part. Não Controladores nos Lucros Retidos,540712
00.001.180/0001-26,2009,4,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,MIL,7.08.05,Outros,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.01,Receitas,1749571
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.01.01,"Vendas de Mercadorias, Produtos e Serviços",1754961
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.01.02,Outras Receitas,6585
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.01.03,Receitas refs. à Construção de Ativos Próprios,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.01.04,Provisão/Reversão de Créds. Liquidação Duvidosa,-11975
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.02,Insumos Adquiridos de Terceiros,-887900
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.02.01,"Custos Prods., Mercs. e Servs. Vendidos",-679475
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.02.02,"Materiais, Energia, Servs. de Terceiros e Outros",-168337
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.02.03,Perda/Recuperação de Valores Ativos,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.02.04,Outros,-40088
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.02.04.01,Provisões,-13301
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.02.04.02,Outros,-26787
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.03,Valor Adicionado Bruto,861671
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.04,Retenções,-37508
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.04.01,"Depreciação, Amortização e Exaustão",-37508
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.04.02,Outras,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.05,Valor Adicionado Líquido Produzido,824163
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.06,Vlr Adicionado Recebido em Transferência,44815
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.06.01,Resultado de Equivalência Patrimonial,16023
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.06.02,Receitas Financeiras,28792
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.06.03,Outros,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.07,Valor Adicionado Total a Distribuir,868978
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08,Distribuição do Valor Adicionado,868978
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.01,Pessoal,111458
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.01.01,Remuneração Direta,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.01.02,Benefícios,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.01.03,F.G.T.S.,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.01.04,Outros,111458
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.02,"Impostos, Taxas e Contribuições",568708
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.02.01,Federais,272644
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.02.02,Estaduais,296064
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.02.03,Municipais,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.03,Remuneração de Capitais de Terceiros,117622
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.03.01,Juros,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.03.02,Aluguéis,39930
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.03.03,Outras,77692
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.03.03.01,Despesas Financeiras,77692
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.04,Remuneração de Capitais Próprios,71190
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.04.01,Juros sobre o Capital Próprio,0
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.04.02,Dividendos,9220
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.04.03,Lucros Retidos / Prejuízo do Período,43315
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.04.04,Part. Não Controladores nos Lucros Retidos,18655
00.070.698/0001-11,2009,2,CIA ENERGETICA DE BRASILIA,14451,MIL,7.08.05,Outros,0
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.01,Receitas,4479855
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.01.01,"Vendas de Mercadorias, Produtos e Serviços",4067221
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.01.02,Outras Receitas,291668
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.01.03,Receitas refs. à Construção de Ativos Próprios,130253
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.01.04,Provisão/Reversão de Créds. Liquidação Duvidosa,-9287
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.02,Insumos Adquiridos de Terceiros,-2167746
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.02.01,"Custos Prods., Mercs. e Servs. Vendidos",-1715262
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.02.02,"Materiais, Energia, Servs. de Terceiros e Outros",-365088
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.02.03,Perda/Recuperação de Valores Ativos,0
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.02.04,Outros,-87396
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.03,Valor Adicionado Bruto,2312109
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.04,Retenções,-174426
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.04.01,"Depreciação, Amortização e Exaustão",-130933
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.04.02,Outras,-43493
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.04.02.01,Amortização do Intangível de Concessão,-43493
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.05,Valor Adicionado Líquido Produzido,2137683
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.06,Vlr Adicionado Recebido em Transferência,160262
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.06.01,Resultado de Equivalência Patrimonial,3270
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.06.02,Receitas Financeiras,156992
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.06.03,Outros,0
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.07,Valor Adicionado Total a Distribuir,2297945
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08,Distribuição do Valor Adicionado,2297945
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.01,Pessoal,137204
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.01.01,Remuneração Direta,91739
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.01.02,Benefícios,38007
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.01.03,F.G.T.S.,7458
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.01.04,Outros,0
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.02,"Impostos, Taxas e Contribuições",1373639
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.02.01,Federais,701520
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.02.02,Estaduais,670008
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.02.03,Municipais,2111
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.03,Remuneração de Capitais de Terceiros,298766
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.03.01,Juros,294864
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.03.02,Aluguéis,2511
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.03.03,Outras,1391
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.04,Remuneração de Capitais Próprios,488336
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.04.01,Juros sobre o Capital Próprio,0
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.04.02,Dividendos,278704
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.04.03,Lucros Retidos / Prejuízo do Período,209632
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.04.04,Part. Não Controladores nos Lucros Retidos,0
00.095.147/0001-02,2009,1,VBC ENERGIA SA,14540,MIL,7.08.05,Outros,0
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.01,Receitas,5763755
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.01.01,"Vendas de Mercadorias, Produtos e Serviços",5708056
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.01.02,Outras Receitas,28878
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.01.03,Receitas refs. à Construção de Ativos Próprios,67566
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.01.04,Provisão/Reversão de Créds. Liquidação Duvidosa,-40745
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.02,Insumos Adquiridos de Terceiros,-2572854
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.02.01,"Custos Prods., Mercs. e Servs. Vendidos",-1357349
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.02.02,"Materiais, Energia, Servs. de Terceiros e Outros",-1155821
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.02.03,Perda/Recuperação de Valores Ativos,0
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.02.04,Outros,-59684
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.03,Valor Adicionado Bruto,3190901
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.04,Retenções,-618748
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.04.01,"Depreciação, Amortização e Exaustão",-618748
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.04.02,Outras,0
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.05,Valor Adicionado Líquido Produzido,2572153
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.06,Vlr Adicionado Recebido em Transferência,246556
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.06.01,Resultado de Equivalência Patrimonial,0
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.06.02,Receitas Financeiras,246556
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.06.03,Outros,0
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.07,Valor Adicionado Total a Distribuir,2818709
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08,Distribuição do Valor Adicionado,2818709
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.01,Pessoal,596049
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.01.01,Remuneração Direta,442154
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.01.02,Benefícios,112883
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.01.03,F.G.T.S.,26481
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.01.04,Outros,14531
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.02,"Impostos, Taxas e Contribuições",1217743
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.02.01,Federais,362061
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.02.02,Estaduais,827521
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.02.03,Municipais,28161
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.03,Remuneração de Capitais de Terceiros,268969
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.03.01,Juros,122339
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.03.02,Aluguéis,122195
00.108.786/0001-65,2009,2,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,MIL,7.08.03.03,Outras,24435
