CNPJ_CIA,DENOM_CIA,CD_CVM,CD_CONTA,DS_CONTA,ANO,VL_CONTA,SETOR_ATIV,MUN,UF
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,3,Valor Adicionado Líquido Produzido,2023,4294781,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,4,Valor Adicionado Total a Distribuir,2023,6085571,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5,Distribuição do Valor Adicionado,2023,6085571,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5.1,Pessoal,2023,1101023,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5.2,"Impostos, Taxas e Contribuições",2023,1511049,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5.3,Remuneração de Capitais de Terceiros,2023,2122209,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5.4,Remuneração de Capitais Próprios,2023,1351290,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,1,Receitas,2023,3132313,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,2,Valor Adicionado Bruto,2023,1054064,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,3,Valor Adicionado Líquido Produzido,2023,988877,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,4,Valor Adicionado Total a Distribuir,2023,1113476,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5,Distribuição do Valor Adicionado,2023,1113476,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5.1,Pessoal,2023,367351,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5.2,"Impostos, Taxas e Contribuições",2023,334808,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5.3,Remuneração de Capitais de Terceiros,2023,517884,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5.4,Remuneração de Capitais Próprios,2023,-106567,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,1,Receitas,2023,7147359,Energia Elétrica,SÃO PAULO,SP
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,2,Valor Adicionado Bruto,2023,2766078,Energia Elétrica,SÃO PAULO,SP
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,3,Valor Adicionado Líquido Produzido,2023,1835318,Energia Elétrica,SÃO PAULO,SP
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,4,Valor Adicionado Total a Distribuir,2023,2350722,Energia Elétrica,SÃO PAULO,SP
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5,Distribuição do Valor Adicionado,2023,2350722,Energia Elétrica,SÃO PAULO,SP
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5.1,Pessoal,2023,193899,Energia Elétrica,SÃO PAULO,SP
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5.2,"Impostos, Taxas e Contribuições",2023,704835,Energia Elétrica,SÃO PAULO,SP
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5.3,Remuneração de Capitais de Terceiros,2023,1118701,Energia Elétrica,SÃO PAULO,SP
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5.4,Remuneração de Capitais Próprios,2023,333287,Energia Elétrica,SÃO PAULO,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,1,Receitas,2023,4046645,Energia Elétrica,BAURU,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,2,Valor Adicionado Bruto,2023,2224354,Energia Elétrica,BAURU,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,3,Valor Adicionado Líquido Produzido,2023,1619899,Energia Elétrica,BAURU,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,4,Valor Adicionado Total a Distribuir,2023,1913424,Energia Elétrica,BAURU,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5,Distribuição do Valor Adicionado,2023,1913424,Energia Elétrica,BAURU,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5.1,Pessoal,2023,182770,Energia Elétrica,BAURU,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5.2,"Impostos, Taxas e Contribuições",2023,635710,Energia Elétrica,BAURU,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5.3,Remuneração de Capitais de Terceiros,2023,760854,Energia Elétrica,BAURU,SP
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5.4,Remuneração de Capitais Próprios,2023,334090,Energia Elétrica,BAURU,SP
04.212.396/0001-91,AGASUS S.A.,27324,1,Receitas,2023,495678,Comunicação e Informática,SÃO PAULO,SP
04.212.396/0001-91,AGASUS S.A.,27324,2,Valor Adicionado Bruto,2023,401436,Comunicação e Informática,SÃO PAULO,SP
04.212.396/0001-91,AGASUS S.A.,27324,3,Valor Adicionado Líquido Produzido,2023,272484,Comunicação e Informática,SÃO PAULO,SP
04.212.396/0001-91,AGASUS S.A.,27324,4,Valor Adicionado Total a Distribuir,2023,298862,Comunicação e Informática,SÃO PAULO,SP
04.212.396/0001-91,AGASUS S.A.,27324,5,Distribuição do Valor Adicionado,2023,298862,Comunicação e Informática,SÃO PAULO,SP
04.212.396/0001-91,AGASUS S.A.,27324,5.1,Pessoal,2023,96150,Comunicação e Informática,SÃO PAULO,SP
04.212.396/0001-91,AGASUS S.A.,27324,5.2,"Impostos, Taxas e Contribuições",2023,11246,Comunicação e Informática,SÃO PAULO,SP
04.212.396/0001-91,AGASUS S.A.,27324,5.3,Remuneração de Capitais de Terceiros,2023,180079,Comunicação e Informática,SÃO PAULO,SP
04.212.396/0001-91,AGASUS S.A.,27324,5.4,Remuneração de Capitais Próprios,2023,11387,Comunicação e Informática,SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,1,Receitas,2023,9507488,Comércio (Atacado e Varejo),SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,2,Valor Adicionado Bruto,2023,834273,Comércio (Atacado e Varejo),SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,3,Valor Adicionado Líquido Produzido,2023,686853,Comércio (Atacado e Varejo),SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,4,Valor Adicionado Total a Distribuir,2023,2175244,Comércio (Atacado e Varejo),SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5,Distribuição do Valor Adicionado,2023,2175244,Comércio (Atacado e Varejo),SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5.1,Pessoal,2023,411653,Comércio (Atacado e Varejo),SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5.2,"Impostos, Taxas e Contribuições",2023,76442,Comércio (Atacado e Varejo),SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5.3,Remuneração de Capitais de Terceiros,2023,2054441,Comércio (Atacado e Varejo),SÃO PAULO,SP
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5.4,Remuneração de Capitais Próprios,2023,-367292,Comércio (Atacado e Varejo),SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,1,Receitas,2023,1294782,Serviços Médicos,SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2,Valor Adicionado Bruto,2023,623450,Serviços Médicos,SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,3,Valor Adicionado Líquido Produzido,2023,510147,Serviços Médicos,SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,4,Valor Adicionado Total a Distribuir,2023,526262,Serviços Médicos,SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5,Distribuição do Valor Adicionado,2023,526262,Serviços Médicos,SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5.1,Pessoal,2023,325113,Serviços Médicos,SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5.2,"Impostos, Taxas e Contribuições",2023,165750,Serviços Médicos,SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5.3,Remuneração de Capitais de Terceiros,2023,253958,Serviços Médicos,SÃO PAULO,SP
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5.4,Remuneração de Capitais Próprios,2023,-218559,Serviços Médicos,SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,1,Receitas,2023,6776760,Comércio (Atacado e Varejo),SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,2,Valor Adicionado Bruto,2023,859126,Comércio (Atacado e Varejo),SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,3,Valor Adicionado Líquido Produzido,2023,794216,Comércio (Atacado e Varejo),SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,4,Valor Adicionado Total a Distribuir,2023,839116,Comércio (Atacado e Varejo),SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5,Distribuição do Valor Adicionado,2023,839116,Comércio (Atacado e Varejo),SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5.1,Pessoal,2023,173575,Comércio (Atacado e Varejo),SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5.2,"Impostos, Taxas e Contribuições",2023,409595,Comércio (Atacado e Varejo),SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5.3,Remuneração de Capitais de Terceiros,2023,163851,Comércio (Atacado e Varejo),SÃO PAULO,SP
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5.4,Remuneração de Capitais Próprios,2023,122444,Comércio (Atacado e Varejo),SÃO PAULO,SP
05.878.397/0001-32,ALLOS S.A.,22357,1,Receitas,2023,-1972190,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
05.878.397/0001-32,ALLOS S.A.,22357,2,Valor Adicionado Bruto,2023,6553457,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
05.878.397/0001-32,ALLOS S.A.,22357,3,Valor Adicionado Líquido Produzido,2023,5868991,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
05.878.397/0001-32,ALLOS S.A.,22357,4,Valor Adicionado Total a Distribuir,2023,6300403,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
05.878.397/0001-32,ALLOS S.A.,22357,5,Distribuição do Valor Adicionado,2023,6300403,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
05.878.397/0001-32,ALLOS S.A.,22357,5.1,Pessoal,2023,344036,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
05.878.397/0001-32,ALLOS S.A.,22357,5.2,"Impostos, Taxas e Contribuições",2023,1619386,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
05.878.397/0001-32,ALLOS S.A.,22357,5.3,Remuneração de Capitais de Terceiros,2023,843071,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
05.878.397/0001-32,ALLOS S.A.,22357,5.4,Remuneração de Capitais Próprios,2023,3493910,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,1,Receitas,2023,1569977,Serviços Transporte e Logística,SÃO PAULO,SP
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,2,Valor Adicionado Bruto,2023,730772,Serviços Transporte e Logística,SÃO PAULO,SP
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,3,Valor Adicionado Líquido Produzido,2023,496311,Serviços Transporte e Logística,SÃO PAULO,SP
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,4,Valor Adicionado Total a Distribuir,2023,539912,Serviços Transporte e Logística,SÃO PAULO,SP
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5,Distribuição do Valor Adicionado,2023,539912,Serviços Transporte e Logística,SÃO PAULO,SP
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5.1,Pessoal,2023,49189,Serviços Transporte e Logística,SÃO PAULO,SP
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5.2,"Impostos, Taxas e Contribuições",2023,213636,Serviços Transporte e Logística,SÃO PAULO,SP
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5.3,Remuneração de Capitais de Terceiros,2023,345167,Serviços Transporte e Logística,SÃO PAULO,SP
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5.4,Remuneração de Capitais Próprios,2023,-68080,Serviços Transporte e Logística,SÃO PAULO,SP
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,1,Receitas,2023,24462211,Comércio (Atacado e Varejo),NA,NA
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,2,Valor Adicionado Bruto,2023,4682909,Comércio (Atacado e Varejo),NA,NA
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,3,Valor Adicionado Líquido Produzido,2023,3919208,Comércio (Atacado e Varejo),NA,NA
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,4,Valor Adicionado Total a Distribuir,2023,4071673,Comércio (Atacado e Varejo),NA,NA
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5,Distribuição do Valor Adicionado,2023,4071673,Comércio (Atacado e Varejo),NA,NA
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5.1,Pessoal,2023,2331991,Comércio (Atacado e Varejo),NA,NA
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5.2,"Impostos, Taxas e Contribuições",2023,552501,Comércio (Atacado e Varejo),NA,NA
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5.3,Remuneração de Capitais de Terceiros,2023,830663,Comércio (Atacado e Varejo),NA,NA
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5.4,Remuneração de Capitais Próprios,2023,356518,Comércio (Atacado e Varejo),NA,NA
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,1,Receitas,2023,281139,Comércio (Atacado e Varejo),SÃO PAULO,SP
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,2,Valor Adicionado Bruto,2023,252669,Comércio (Atacado e Varejo),SÃO PAULO,SP
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,3,Valor Adicionado Líquido Produzido,2023,249973,Comércio (Atacado e Varejo),SÃO PAULO,SP
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,4,Valor Adicionado Total a Distribuir,2023,368410,Comércio (Atacado e Varejo),SÃO PAULO,SP
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5,Distribuição do Valor Adicionado,2023,368410,Comércio (Atacado e Varejo),SÃO PAULO,SP
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5.1,Pessoal,2023,11736,Comércio (Atacado e Varejo),SÃO PAULO,SP
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5.2,"Impostos, Taxas e Contribuições",2023,35131,Comércio (Atacado e Varejo),SÃO PAULO,SP
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5.3,Remuneração de Capitais de Terceiros,2023,172604,Comércio (Atacado e Varejo),SÃO PAULO,SP
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5.4,Remuneração de Capitais Próprios,2023,148939,Comércio (Atacado e Varejo),SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,1,Receitas,2023,4155346,Têxtil e Vestuário,SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,2,Valor Adicionado Bruto,2023,281436,Têxtil e Vestuário,SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,3,Valor Adicionado Líquido Produzido,2023,70186,Têxtil e Vestuário,SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,4,Valor Adicionado Total a Distribuir,2023,-249548,Têxtil e Vestuário,SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,5,Distribuição do Valor Adicionado,2023,-249548,Têxtil e Vestuário,SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,5.1,Pessoal,2023,874684,Têxtil e Vestuário,SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,5.2,"Impostos, Taxas e Contribuições",2023,459046,Têxtil e Vestuário,SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,5.3,Remuneração de Capitais de Terceiros,2023,284206,Têxtil e Vestuário,SÃO PAULO,SP
61.079.117/0001-05,ALPARGATAS S.A.,10456,5.4,Remuneração de Capitais Próprios,2023,-1867484,Têxtil e Vestuário,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,1,Receitas,2023,360575,Seguradoras e Corretoras,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,2,Valor Adicionado Bruto,2023,278301,Seguradoras e Corretoras,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,3,Valor Adicionado Líquido Produzido,2023,258402,Seguradoras e Corretoras,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,4,Valor Adicionado Total a Distribuir,2023,245123,Seguradoras e Corretoras,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5,Distribuição do Valor Adicionado,2023,245123,Seguradoras e Corretoras,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5.1,Pessoal,2023,153845,Seguradoras e Corretoras,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5.2,"Impostos, Taxas e Contribuições",2023,48410,Seguradoras e Corretoras,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5.3,Remuneração de Capitais de Terceiros,2023,48526,Seguradoras e Corretoras,SÃO PAULO,SP
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5.4,Remuneração de Capitais Próprios,2023,-5658,Seguradoras e Corretoras,SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,1,Receitas,2023,492591,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,2,Valor Adicionado Bruto,2023,94229,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,3,Valor Adicionado Líquido Produzido,2023,-149313,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,4,Valor Adicionado Total a Distribuir,2023,-123996,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5,Distribuição do Valor Adicionado,2023,-123996,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5.1,Pessoal,2023,49931,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5.2,"Impostos, Taxas e Contribuições",2023,38471,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5.3,Remuneração de Capitais de Terceiros,2023,368571,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5.4,Remuneração de Capitais Próprios,2023,-580969,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,1,Receitas,2023,3377467,Metalurgia e Siderurgia,BARCARENA,PA
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,2,Valor Adicionado Bruto,2023,566369,Metalurgia e Siderurgia,BARCARENA,PA
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,3,Valor Adicionado Líquido Produzido,2023,502716,Metalurgia e Siderurgia,BARCARENA,PA
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,4,Valor Adicionado Total a Distribuir,2023,713381,Metalurgia e Siderurgia,BARCARENA,PA
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5,Distribuição do Valor Adicionado,2023,713381,Metalurgia e Siderurgia,BARCARENA,PA
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5.1,Pessoal,2023,115766,Metalurgia e Siderurgia,BARCARENA,PA
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5.2,"Impostos, Taxas e Contribuições",2023,17168,Metalurgia e Siderurgia,BARCARENA,PA
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5.3,Remuneração de Capitais de Terceiros,2023,454873,Metalurgia e Siderurgia,BARCARENA,PA
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5.4,Remuneração de Capitais Próprios,2023,125574,Metalurgia e Siderurgia,BARCARENA,PA
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,1,Receitas,2023,3975296,Energia Elétrica,SÃO PAULO,SP
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,2,Valor Adicionado Bruto,2023,3050354,Energia Elétrica,SÃO PAULO,SP
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,3,Valor Adicionado Líquido Produzido,2023,2895641,Energia Elétrica,SÃO PAULO,SP
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,4,Valor Adicionado Total a Distribuir,2023,3283181,Energia Elétrica,SÃO PAULO,SP
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5,Distribuição do Valor Adicionado,2023,3283181,Energia Elétrica,SÃO PAULO,SP
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5.1,Pessoal,2023,189182,Energia Elétrica,SÃO PAULO,SP
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5.2,"Impostos, Taxas e Contribuições",2023,712328,Energia Elétrica,SÃO PAULO,SP
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5.3,Remuneração de Capitais de Terceiros,2023,1230685,Energia Elétrica,SÃO PAULO,SP
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5.4,Remuneração de Capitais Próprios,2023,1150986,Energia Elétrica,SÃO PAULO,SP
