CNPJ_CIA,DENOM_CIA,CD_CVM,CD_CONTA,DS_CONTA,ANO,SETOR_ATIV,MUN,UF,VL_CONTA,VL_INPC,VL_IGPM,VL_IGPDI,VL_IPCA,VL_INDICE_MEDIO
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,1,Receitas,2009,,,,1749571,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,2,Valor Adicionado Bruto,2009,,,,861671,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,3,Valor Adicionado Líquido Produzido,2009,,,,824163,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,4,Valor Adicionado Total a Distribuir,2009,,,,868978,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,5,Distribuição do Valor Adicionado,2009,,,,868978,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,5.1,Pessoal,2009,,,,111458,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,5.2,"Impostos, Taxas e Contribuições",2009,,,,568708,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,5.3,Remuneração de Capitais de Terceiros,2009,,,,117622,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,5.4,Remuneração de Capitais Próprios,2009,,,,71190,,,,,
00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,14451,5.5,Outros,2009,,,,0,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,1,Receitas,2009,,,,4479855,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,2,Valor Adicionado Bruto,2009,,,,2312109,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,3,Valor Adicionado Líquido Produzido,2009,,,,2137683,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,4,Valor Adicionado Total a Distribuir,2009,,,,2297945,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,5,Distribuição do Valor Adicionado,2009,,,,2297945,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,5.1,Pessoal,2009,,,,137204,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,5.2,"Impostos, Taxas e Contribuições",2009,,,,1373639,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,5.3,Remuneração de Capitais de Terceiros,2009,,,,298766,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,5.4,Remuneração de Capitais Próprios,2009,,,,488336,,,,,
00.095.147/0001-02,VBC ENERGIA SA,14540,5.5,Outros,2009,,,,0,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,1,Receitas,2009,,,,5763755,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,2,Valor Adicionado Bruto,2009,,,,3190901,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,3,Valor Adicionado Líquido Produzido,2009,,,,2572153,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,4,Valor Adicionado Total a Distribuir,2009,,,,2818709,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,5,Distribuição do Valor Adicionado,2009,,,,2818709,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,5.1,Pessoal,2009,,,,596049,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,5.2,"Impostos, Taxas e Contribuições",2009,,,,1217743,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,5.3,Remuneração de Capitais de Terceiros,2009,,,,268969,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,5.4,Remuneração de Capitais Próprios,2009,,,,735948,,,,,
00.108.786/0001-65,NET SERVIÇOS DE COMUNICAÇÃO S.A.,14621,5.5,Outros,2009,,,,0,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,1,Receitas,2009,,,,0,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,2,Valor Adicionado Bruto,2009,,,,-1349,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,3,Valor Adicionado Líquido Produzido,2009,,,,-3257,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,4,Valor Adicionado Total a Distribuir,2009,,,,-399,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,5,Distribuição do Valor Adicionado,2009,,,,-399,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,5.1,Pessoal,2009,,,,128,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,5.2,"Impostos, Taxas e Contribuições",2009,,,,578,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,5.3,Remuneração de Capitais de Terceiros,2009,,,,0,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,5.4,Remuneração de Capitais Próprios,2009,,,,-1105,,,,,
00.249.786/0001-85,FORPART S.A. - EM LIQUIDAÇÃO,14796,5.5,Outros,2009,,,,0,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,1,Receitas,2009,,,,345.88,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,2,Valor Adicionado Bruto,2009,,,,114.54,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,3,Valor Adicionado Líquido Produzido,2009,,,,104.2,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,4,Valor Adicionado Total a Distribuir,2009,,,,-32.64,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,5,Distribuição do Valor Adicionado,2009,,,,-32.64,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,5.1,Pessoal,2009,,,,77.58,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,5.2,"Impostos, Taxas e Contribuições",2009,,,,655.77,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,5.3,Remuneração de Capitais de Terceiros,2009,,,,3844.51,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,5.4,Remuneração de Capitais Próprios,2009,,,,-4610.5,,,,,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,15083,5.5,Outros,2009,,,,0,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,1,Receitas,2009,,,,198056,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,2,Valor Adicionado Bruto,2009,,,,82294,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,3,Valor Adicionado Líquido Produzido,2009,,,,71100,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,4,Valor Adicionado Total a Distribuir,2009,,,,74548,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,5,Distribuição do Valor Adicionado,2009,,,,74548,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,5.1,Pessoal,2009,,,,20260,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,5.2,"Impostos, Taxas e Contribuições",2009,,,,6365,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,5.3,Remuneração de Capitais de Terceiros,2009,,,,43220,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,5.4,Remuneração de Capitais Próprios,2009,,,,4703,,,,,
00.622.416/0001-41,STATKRAFT ENERGIAS RENOVAVEIS S.A.,22594,5.5,Outros,2009,,,,0,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,1,Receitas,2009,,,,12325368,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,2,Valor Adicionado Bruto,2009,,,,4662532,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,3,Valor Adicionado Líquido Produzido,2009,,,,3561533,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,4,Valor Adicionado Total a Distribuir,2009,,,,3796921,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,5,Distribuição do Valor Adicionado,2009,,,,3796921,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,5.1,Pessoal,2009,,,,983971,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,5.2,"Impostos, Taxas e Contribuições",2009,,,,1053110,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,5.3,Remuneração de Capitais de Terceiros,2009,,,,431039,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,5.4,Remuneração de Capitais Próprios,2009,,,,1328801,,,,,
00.743.065/0001-27,LITEL PARTICIPACOES S.A.,15091,5.5,Outros,2009,,,,0,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,1,Receitas,2009,,,,4353485,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,2,Valor Adicionado Bruto,2009,,,,633631,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,3,Valor Adicionado Líquido Produzido,2009,,,,585103,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,4,Valor Adicionado Total a Distribuir,2009,,,,725377,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,5,Distribuição do Valor Adicionado,2009,,,,725377,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,5.1,Pessoal,2009,,,,73168,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,5.2,"Impostos, Taxas e Contribuições",2009,,,,148835,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,5.3,Remuneração de Capitais de Terceiros,2009,,,,441359,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,5.4,Remuneração de Capitais Próprios,2009,,,,62015,,,,,
00.776.574/0001-56,AMERICANAS S.A.,20990,5.5,Outros,2009,,,,0,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,1,Receitas,2009,,,,2936096,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,2,Valor Adicionado Bruto,2009,,,,1586451,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,3,Valor Adicionado Líquido Produzido,2009,,,,1491887,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,4,Valor Adicionado Total a Distribuir,2009,,,,1904756,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,5,Distribuição do Valor Adicionado,2009,,,,1904756,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,5.1,Pessoal,2009,,,,178865,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,5.2,"Impostos, Taxas e Contribuições",2009,,,,855562,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,5.3,Remuneração de Capitais de Terceiros,2009,,,,458082,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,5.4,Remuneração de Capitais Próprios,2009,,,,251027,,,,,
00.864.214/0001-06,ENERGISA S.A.,15253,5.5,Outros,2009,,,,161220,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,1,Receitas,2009,,,,1065602,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,2,Valor Adicionado Bruto,2009,,,,272515,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,3,Valor Adicionado Líquido Produzido,2009,,,,176806,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,4,Valor Adicionado Total a Distribuir,2009,,,,187365,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,5,Distribuição do Valor Adicionado,2009,,,,187365,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,5.1,Pessoal,2009,,,,122568,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,5.2,"Impostos, Taxas e Contribuições",2009,,,,57378,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,5.3,Remuneração de Capitais de Terceiros,2009,,,,3202,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,5.4,Remuneração de Capitais Próprios,2009,,,,4217,,,,,
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,15369,5.5,Outros,2009,,,,0,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,1,Receitas,2009,,,,28445,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,2,Valor Adicionado Bruto,2009,,,,27025,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,3,Valor Adicionado Líquido Produzido,2009,,,,24136,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,4,Valor Adicionado Total a Distribuir,2009,,,,24136,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,5,Distribuição do Valor Adicionado,2009,,,,24136,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,5.1,Pessoal,2009,,,,1772,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,5.2,"Impostos, Taxas e Contribuições",2009,,,,1310,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,5.3,Remuneração de Capitais de Terceiros,2009,,,,38001,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,5.4,Remuneração de Capitais Próprios,2009,,,,-16947,,,,,
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652,5.5,Outros,2009,,,,0,,,,,
01.027.058/0001-91,CIELO S.A.,21733,1,Receitas,2009,,,,3430168,,,,,
01.027.058/0001-91,CIELO S.A.,21733,2,Valor Adicionado Bruto,2009,,,,2485389,,,,,
01.027.058/0001-91,CIELO S.A.,21733,3,Valor Adicionado Líquido Produzido,2009,,,,2325118,,,,,
01.027.058/0001-91,CIELO S.A.,21733,4,Valor Adicionado Total a Distribuir,2009,,,,2609656,,,,,
01.027.058/0001-91,CIELO S.A.,21733,5,Distribuição do Valor Adicionado,2009,,,,2609656,,,,,
01.027.058/0001-91,CIELO S.A.,21733,5.1,Pessoal,2009,,,,180837,,,,,
01.027.058/0001-91,CIELO S.A.,21733,5.2,"Impostos, Taxas e Contribuições",2009,,,,826659,,,,,
01.027.058/0001-91,CIELO S.A.,21733,5.3,Remuneração de Capitais de Terceiros,2009,,,,68366,,,,,
01.027.058/0001-91,CIELO S.A.,21733,5.4,Remuneração de Capitais Próprios,2009,,,,1533794,,,,,
01.027.058/0001-91,CIELO S.A.,21733,5.5,Outros,2009,,,,0,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,1,Receitas,2009,,,,11222188,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,2,Valor Adicionado Bruto,2009,,,,6070249,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,3,Valor Adicionado Líquido Produzido,2009,,,,5574828,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,4,Valor Adicionado Total a Distribuir,2009,,,,6238744,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,5,Distribuição do Valor Adicionado,2009,,,,6238744,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,5.1,Pessoal,2009,,,,305718,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,5.2,"Impostos, Taxas e Contribuições",2009,,,,3481700,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,5.3,Remuneração de Capitais de Terceiros,2009,,,,621052,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,5.4,Remuneração de Capitais Próprios,2009,,,,424293,,,,,
01.083.200/0001-18,NEOENERGIA S.A.,15539,5.5,Outros,2009,,,,1405981,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,1,Receitas,2009,,,,801395,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,2,Valor Adicionado Bruto,2009,,,,331995,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,3,Valor Adicionado Líquido Produzido,2009,,,,250596,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,4,Valor Adicionado Total a Distribuir,2009,,,,376120,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,5,Distribuição do Valor Adicionado,2009,,,,376120,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,5.1,Pessoal,2009,,,,109563,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,5.2,"Impostos, Taxas e Contribuições",2009,,,,64496,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,5.3,Remuneração de Capitais de Terceiros,2009,,,,83913,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,5.4,Remuneração de Capitais Próprios,2009,,,,118148,,,,,
01.109.184/0001-95,UNIVERSO ONLINE SA,19887,5.5,Outros,2009,,,,0,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,1,Receitas,2009,,,,3172738,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,2,Valor Adicionado Bruto,2009,,,,2583641,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,3,Valor Adicionado Líquido Produzido,2009,,,,2555218,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,4,Valor Adicionado Total a Distribuir,2009,,,,2555218,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,5,Distribuição do Valor Adicionado,2009,,,,2555218,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,5.1,Pessoal,2009,,,,579420,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,5.2,"Impostos, Taxas e Contribuições",2009,,,,890685,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,5.3,Remuneração de Capitais de Terceiros,2009,,,,55912,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,5.4,Remuneração de Capitais Próprios,2009,,,,1029201,,,,,
01.386.256/0001-41,VOTORANTIM FINANÇAS SA,18988,5.5,Outros,2009,,,,0,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,1,Receitas,2009,,,,3144880,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,2,Valor Adicionado Bruto,2009,,,,778570,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,3,Valor Adicionado Líquido Produzido,2009,,,,744400,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,4,Valor Adicionado Total a Distribuir,2009,,,,873966,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,5,Distribuição do Valor Adicionado,2009,,,,873966,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,5.1,Pessoal,2009,,,,291872,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,5.2,"Impostos, Taxas e Contribuições",2009,,,,184168,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,5.3,Remuneração de Capitais de Terceiros,2009,,,,296186,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,5.4,Remuneração de Capitais Próprios,2009,,,,101740,,,,,
01.545.826/0001-07,GAFISA S.A.,16101,5.5,Outros,2009,,,,0,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,1,Receitas,2009,,,,4513307,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,2,Valor Adicionado Bruto,2009,,,,2318475,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,3,Valor Adicionado Líquido Produzido,2009,,,,2127826,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,4,Valor Adicionado Total a Distribuir,2009,,,,2348315,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,5,Distribuição do Valor Adicionado,2009,,,,2348315,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,5.1,Pessoal,2009,,,,137159,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,5.2,"Impostos, Taxas e Contribuições",2009,,,,1347520,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,5.3,Remuneração de Capitais de Terceiros,2009,,,,230550,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,5.4,Remuneração de Capitais Próprios,2009,,,,481111,,,,,
01.547.749/0001-16,521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330,5.5,Outros,2009,,,,151975,,,,,
01.608.571/0001-76,BELAPART SA,16233,1,Receitas,2009,,,,0,,,,,
01.608.571/0001-76,BELAPART SA,16233,2,Valor Adicionado Bruto,2009,,,,-623,,,,,
01.608.571/0001-76,BELAPART SA,16233,3,Valor Adicionado Líquido Produzido,2009,,,,-623,,,,,
01.608.571/0001-76,BELAPART SA,16233,4,Valor Adicionado Total a Distribuir,2009,,,,1206,,,,,
01.608.571/0001-76,BELAPART SA,16233,5,Distribuição do Valor Adicionado,2009,,,,1206,,,,,
01.608.571/0001-76,BELAPART SA,16233,5.1,Pessoal,2009,,,,0,,,,,
01.608.571/0001-76,BELAPART SA,16233,5.2,"Impostos, Taxas e Contribuições",2009,,,,51,,,,,
01.608.571/0001-76,BELAPART SA,16233,5.3,Remuneração de Capitais de Terceiros,2009,,,,0,,,,,
01.608.571/0001-76,BELAPART SA,16233,5.4,Remuneração de Capitais Próprios,2009,,,,1155,,,,,
01.608.571/0001-76,BELAPART SA,16233,5.5,Outros,2009,,,,0,,,,,
01.772.313/0001-20,VALETRON SA,16225,1,Receitas,2009,,,,0,,,,,
01.772.313/0001-20,VALETRON SA,16225,2,Valor Adicionado Bruto,2009,,,,-620,,,,,
01.772.313/0001-20,VALETRON SA,16225,3,Valor Adicionado Líquido Produzido,2009,,,,-620,,,,,
01.772.313/0001-20,VALETRON SA,16225,4,Valor Adicionado Total a Distribuir,2009,,,,1226,,,,,
01.772.313/0001-20,VALETRON SA,16225,5,Distribuição do Valor Adicionado,2009,,,,1226,,,,,
01.772.313/0001-20,VALETRON SA,16225,5.1,Pessoal,2009,,,,0,,,,,
01.772.313/0001-20,VALETRON SA,16225,5.2,"Impostos, Taxas e Contribuições",2009,,,,51,,,,,
01.772.313/0001-20,VALETRON SA,16225,5.3,Remuneração de Capitais de Terceiros,2009,,,,0,,,,,
01.772.313/0001-20,VALETRON SA,16225,5.4,Remuneração de Capitais Próprios,2009,,,,1175,,,,,
01.772.313/0001-20,VALETRON SA,16225,5.5,Outros,2009,,,,0,,,,,
01.832.635/0001-18,TAM S.A.,16390,1,Receitas,2009,,,,10225283,,,,,
01.832.635/0001-18,TAM S.A.,16390,2,Valor Adicionado Bruto,2009,,,,5316360,,,,,
01.832.635/0001-18,TAM S.A.,16390,3,Valor Adicionado Líquido Produzido,2009,,,,4714168,,,,,
01.832.635/0001-18,TAM S.A.,16390,4,Valor Adicionado Total a Distribuir,2009,,,,7126854,,,,,
01.832.635/0001-18,TAM S.A.,16390,5,Distribuição do Valor Adicionado,2009,,,,7126854,,,,,
