CNPJ_CIA;SETOR_ATIV;ANO;Distribuição_do_Valor_Adicionado;Impostos_Taxas_e_Contribuições;Outros;Pessoal;Receitas;Remuneração_de_Capitais_de_Terceiros;Remuneração_de_Capitais_Próprios;Valor_Adicionado_Bruto;Valor_Adicionado_Líquido_Produzido;Valor_Adicionado_Total_a_Distribuir
08.534.605/0001-74;Energia Elétrica;2019;-671514.541367908;25069.0890466729;0;33200.0294714721;131898.830783303;497004.792024528;-1226788.45191058;-737411.33127102;-756969.866287792;-671514.541367908
08.534.605/0001-74;Energia Elétrica;2020;38051.816553;11346.0439311;0;25256.67604632;89611.15921938;-24537.34033614;25986.43691172;-57863.08652274;-72590.35579686;38051.816553
08.534.605/0001-74;Energia Elétrica;2021;396370.8108;18898.3476;0;30597.0228;120373155;310075119;36800.3214;-176456.4264;-178691.1354;396370.8108
08.534.605/0001-74;Energia Elétrica;2022;1067918;32386;0;30509;233110;227903;777120;869940;816286;1067918
08.560.444/0001-93;Energia Elétrica;2010;4585130.55282108;3231825.350634;0;595745.484662716;7184133.61835787;2009818.42260959;-1252258.70508523;3680288.57886166;3330116.81065224;4585130.55282108
08.560.444/0001-93;Energia Elétrica;2011;4546810.0315011;3284645.3646672;0;581249.448967483;6798480.70937913;1918233.9690802;-1237318.75121378;3677972.70562041;3445881.32645109;4546810.0315011
08.560.444/0001-93;Energia Elétrica;2012;-1312290.96984182;30557.7767751357;0;34487.3156061142;-1252978.44355543;32072.6732115498;-1409408.73543462;-1285275.61133807;-1318596.26224402;-1312290.96984182
08.560.444/0001-93;Energia Elétrica;2013;119500.163416059;27593.16052192;0;37691.7658810235;149222.688921014;30230.6314349728;23984.6055781423;90611.6670528104;84532.7813045384;119500.163416059
08.560.444/0001-93;Energia Elétrica;2014;-784071.666559355;17602.9702960775;0;39773.4613974385;-762591.889076154;123115.375643347;-964563.473896218;-808309.578376576;-813699.976681399;-784071.666559355
08.560.444/0001-93;Energia Elétrica;2015;-601897.992314346;38081.5249459084;0;37344.7395363813;-612866.956492616;205338.952302072;-882663.209098708;-650027.499676616;-654722.3648443;-601897.992314346
08.560.444/0001-93;Energia Elétrica;2016;2699391.76644006;596342.532866928;0;44613.8089680749;629384.765482334;115452.039228419;1942983.38537664;544570.492945807;541712.582693124;2699391.76644006
08.560.444/0001-93;Energia Elétrica;2017;329895.296214005;105478.684140224;0;49009.7429909904;358177.489967023;12274.6629815233;163132.206101267;209859.081435063;207980.22643885;329895.296214005
08.560.444/0001-93;Energia Elétrica;2018;226284.696874227;87348.8814570306;0;56465.56922921;303467.758341845;3652.98691507417;78817.259272912;195440.474254403;193921.023362907;226284.696874227
08.560.444/0001-93;Energia Elétrica;2019;260683.684382641;106276.871661622;0;58160.2381970274;330348.94317777;9236.68057481652;87009.8939491753;232732.896170387;230950.888248094;260683.684382641
08.560.444/0001-93;Energia Elétrica;2020;420424.50136158;165115.92507552;0;54034.73785584;465912.92863818;8482.60129734;192791.23713288;382454.92769976;380984.98081374;420424.50136158
08.560.444/0001-93;Energia Elétrica;2021;391835.8836;141544.2492;0;52727.5098;399928383;18133.3692;179430.7554;336850.4196;335812.8384;391835.8836
08.560.444/0001-93;Energia Elétrica;2022;0;0;0;0;0;0;0;0;0;0
08.572.741/0001-59;Arrendamento Mercantil;2010;149.109678292964;28.5991520762789;0;6.79920110828605;194.634332164074;26.1619274896978;87.5493976187017;99.6222998495409;99.5825732874124;149.109678292964
08.572.741/0001-59;Arrendamento Mercantil;2011;15441.1228363303;3327.36113387831;0;14344.4574878819;26071.4905240157;40862.4608198689;-43093.1566052988;5582.3442268548;3693.53900150333;15441.1228363303
08.574.411/0001-00;"Máquinas; Equipamentos; Veículos e Peças";2017;58733.5040256718;16839.090811572;0;26173.2215130095;154972.19633692;5847.06996733831;9874.12173375199;60659.4284581157;57203.7473481705;58733.5040256718
08.574.411/0001-00;"Máquinas; Equipamentos; Veículos e Peças";2018;63763.9773287782;14420.2824856017;0;30908.5313297542;174185.81514481;11155.6697403042;7279.49377311811;62858.6115693639;58602.888118078;63763.9773287782
08.574.411/0001-00;"Máquinas; Equipamentos; Veículos e Peças";2019;97893.0869355603;35661.9345100775;0;40421.2143242658;205008.337069788;12095.3938948285;9714.54420638856;96529.6633588978;92158.7233566958;97893.0869355603
08.574.411/0001-00;"Máquinas; Equipamentos; Veículos e Peças";2020;83324.79062172;25916.93587692;0;38006.64088038;171038.57159106;13760.04653982;5641.1673246;78551.22788154;72442.08692262;83324.79062172
08.574.411/0001-00;"Máquinas; Equipamentos; Veículos e Peças";2021;115030.9854;42329.5092;0;38689.5222;237346.1712;13005.6894;21006.2646;112846.9932;106772.5998;115030.9854
08.574.411/0001-00;"Máquinas; Equipamentos; Veículos e Peças";2022;108796;15255;0;55846;299591;19686;18009;102119;95709;108796
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2010;517559.637737692;181365.660413168;0;147959.594319345;722167.323324116;36075.6910688552;152158.691936324;520360.360367749;501510.106637794;517559.637737692
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2011;623939.062616624;202077.871805061;0;154500.904575783;815379.093716293;47167.8195098404;220192.466725939;588107.810967745;566152.084945658;623939.062616624
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2012;543870.800431922;175911.824698004;0;145504.300194858;738765.673940488;53887.5354306711;168567.140108388;512224.136603308;394917.768676452;543870.800431922
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2013;520028.033961265;161348.703796932;0;130536.424784175;683171.822524115;68017.6671778747;160125.238202284;482715.676126669;443362.537566575;520028.033961265
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2014;252587.204629217;110589.701123587;0;105683.903717154;477143.079369722;63523.6255571891;-27210.0257687132;299219.027442512;202887.291712477;252587.204629217
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2015;105777.254142966;66844.7134914794;0;91234.3095770085;268532.57995603;75833.2099119704;-128134.978837493;146016.303805532;78546.179443175;105777.254142966
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2016;73319.3915154981;42420.5915896039;0;64866.7586495136;169417.296528012;137896.860756195;-171864.819479814;67789.2544446295;51332.050913293;73319.3915154981
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2017;14195.3574766082;32421.6891726494;0;59283.9549327043;118145.592423671;60995.4519334301;-138505.738562176;32548.5151536046;-1572.90366071288;14195.3574766082
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2018;55915.7928070586;36691.2714031164;0;56576.5332777176;159639.437149541;48864.5319064391;-86216.5437802144;77175.4957370381;46082.864963169;55915.7928070586
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2019;85054.8872944401;41450.7382495008;0;53915.1154547836;190090.52329532;75299.210522296;-85610.1769321403;89550.4347752545;74342.2734778061;85054.8872944401
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2020;-92775.77300394;32540.38449336;0;47405.4974865;137530.9643634;33339.64639356;-206061.30137736;54832.84140546;-96028.42143258;-92775.77300394
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2021;73362.9078;36464.3226;0;53844336;179381.0952;60332.9166;-77278.6674;89006.9274;72115.0632;73362.9078
08.613.550/0001-98;"Construção Civil; Mat. Constr. e Decoração";2022;-30284;39607;0;53322;140086;27524;-150737;52696;-37522;-30284
08.648.295/0001-19;Sem Setor Principal;2010;587557.84020804;143649.262328407;0;457649.995719867;673963.112837442;27880.1013017537;-41621.5191419883;588437.783559185;583370.6605597;587557.84020804
08.648.295/0001-19;Sem Setor Principal;2011;539497.699040525;121049.809066467;0;411376.546969157;611322.740473401;39313.6779001692;-32242.3348952678;535217.528149051;528304.986770415;539497.699040525
08.648.295/0001-19;Sem Setor Principal;2012;502017.588150735;100868.769371179;0;367145.845791385;554091.4902748;30372.1710273836;3630.80196078722;501648.144329019;496308.001815125;502017.588150735
08.648.295/0001-19;Sem Setor Principal;2013;488921.588357446;98336.8828703835;0;382869.518076003;525301.304386285;22156.0927905125;-14440.9053794529;487134.860596956;483601.518702029;488921.588357446
08.648.295/0001-19;Sem Setor Principal;2014;462628.653111113;94950.308493715;0;345729.70003121;508643.711144639;15411.252596539;6537.39198964979;460512.457629506;456876.377512038;462628.653111113
08.684.547/0001-65;Extração Mineral;2010;1900892.16190957;163995.221122499;0;1015436.75026884;5385676.39689654;538034.707858701;183425.482659529;2008304.8405925;1766761.38386714;1900892.16190957
08.684.547/0001-65;Extração Mineral;2011;1704944.70246076;132773.105593747;0;934586.803918075;5088250.71514535;453468.319201767;184116.473747169;1755748.14508488;1501706.64465674;1704944.70246076
08.684.547/0001-65;Extração Mineral;2012;1680621.15707124;234089.504412429;0;912604.017285034;5283281.75115168;399971.548036672;133956.087337106;1691119.37169885;1495503.28728474;1680621.15707124
08.684.547/0001-65;Extração Mineral;2013;1771979.31731098;240601.529072108;0;870632.825481138;5330011.14907357;563019.812684678;97725.1500730595;1784127.06040101;1573286.49905883;1771979.31731098
08.684.547/0001-65;Extração Mineral;2014;1795315.73803461;227144.084084181;0;989259.239159646;5373180.81251443;731555.404265605;-152642.989474817;1735711.40091213;1504968.99781945;1795315.73803461
08.684.547/0001-65;Extração Mineral;2015;1331676.80105747;623863.050366199;0;1043383.80776337;5560926.43113098;1178619.62737911;-1514189.68445121;1143882.19435009;889087.23537286;1331676.80105747
08.684.547/0001-65;Extração Mineral;2016;2153596.83925229;-101925.404685003;0;1169414.08747579;5444452.23904128;475307.880814413;610800.275647094;2021988.99569056;1823730.21786958;2153596.83925229
08.684.547/0001-65;Extração Mineral;2017;2137608.76201729;759938.662915096;0;1053487.20196854;5528518.40525593;563585.894709595;-239402.997575935;2138117.37342545;1942028.71705658;2137608.76201729
08.723.106/0001-25;Hospedagem e Turismo;2010;79429.2883196443;11151.2459894589;0;58316.6068764739;247303.808233987;25381.3005438735;-15419.865090162;61558.2943461563;37466.1207433513;79429.2883196443
08.723.106/0001-25;Hospedagem e Turismo;2011;137156.030478688;24085.536068478;0;59229.270088346;349234.66822965;32675.7699222525;21165.4543996111;131052.443266795;97496.7255095866;137156.030478688
08.723.106/0001-25;Hospedagem e Turismo;2012;194111.794020431;19721.9364539937;0;112462.941747422;419187.929787265;75143.8127327481;-13216.8969137322;237598.336881837;183083.277256385;194111.794020431
08.723.106/0001-25;Hospedagem e Turismo;2013;201652.869574724;20503.0771168691;0;113738.843874048;441034.275854355;63745.5660031199;3665.38258068753;208149.605594392;163733.793146061;201652.869574724
08.723.106/0001-25;Hospedagem e Turismo;2014;285203.362498156;40649.8338013458;0;173487.121623765;515033.205457507;64898.7592753489;6167.64779769607;308476.792657217;254717.560526687;285203.362498156
08.741.499/0001-08;Serviços Transporte e Logística;2010;163486.721127254;51437.9526439309;0;51288.9780359492;1249485.79104867;111174.784116497;-50414.993669123;-67330.5638234216;-96074.7178514693;163486.721127254
08.741.499/0001-08;Serviços Transporte e Logística;2011;212659.664877653;50629.6949624381;0;97354.7381731606;772179.446608675;163462.921060462;-98787.6893184074;-69613.0281917125;-90763.5365559103;212659.664877653
08.741.499/0001-08;Serviços Transporte e Logística;2012;237570.054101227;54628.190747891;0;95984.6866946183;1226960.05306817;151618.683827946;-64661.507169229;35524.9401197375;24786.3218569418;237570.054101227
08.741.499/0001-08;Serviços Transporte e Logística;2013;61838.4973644676;39553.706690365;0;103961.147523376;1614444.75079136;145368.438017655;-227044.794866929;-87546.3174618479;-99792.6732159279;61838.4973644676
08.741.499/0001-08;Serviços Transporte e Logística;2014;248025.977342095;49500.0937151317;0;86383.2568971703;734079.105048131;187084.267610421;-74941.640880628;103345.861720375;91109.689036017;248025.977342095
08.741.499/0001-08;Serviços Transporte e Logística;2015;453037.354137151;36550.8389788288;0;96843.0171130988;366102.387327752;629347.532455334;-309704.03441011;52244.6537774969;-33006.8440438552;453037.354137151
08.741.499/0001-08;Serviços Transporte e Logística;2016;754002.569607774;81461.2064585213;0;82790.5922069442;702753.941686791;908690.325864546;-318939.554922237;-23136.4250446677;-174016.32536213;754002.569607774
08.741.499/0001-08;Serviços Transporte e Logística;2017;-236812.8710989;83693.3800713982;0;112758.756943923;993988.819604115;859989.97956104;-1293254.98767526;-64778.0041283115;-258688.391587169;-236812.8710989
08.764.621/0001-53;Comércio (Atacado e Varejo);2010;193700.757954055;36770.9059061032;0;22898.3904108447;246372.220352075;156586.217285541;-22554.7556484336;191031.132979023;171521.418317735;193700.757954055
08.764.621/0001-53;Comércio (Atacado e Varejo);2011;224911.677407678;44853.0522752109;0;26661.8589228397;269419.102613957;224392.302677067;-70995.5364674396;208670.941676738;185398.096283857;224911.677407678
08.764.621/0001-53;Comércio (Atacado e Varejo);2012;362650.65134821;59043.8398706011;0;27170.9137971082;340517.607847228;435950.780319955;-159514.882639454;266662.429306015;238163.992494033;362650.65134821
08.764.621/0001-53;Comércio (Atacado e Varejo);2013;610826.897935661;76921.2207607851;0;37751.9363201046;395092.474214885;692712.179920633;-196558.439065862;301109.59117245;262242.83032826;610826.897935661
08.764.621/0001-53;Comércio (Atacado e Varejo);2014;508497.386847398;93472.9051054403;0;37419.6856052566;421788.4403854;765189.538697071;-387584.742560371;329741.017143407;318988.541365485;508497.386847398
08.764.621/0001-53;Comércio (Atacado e Varejo);2015;901314.160686389;105214.669934916;0;30282.4514830456;404365.25286864;1553941.82747686;-788124.788208432;323216.05055421;314206.135953209;901314.160686389
08.764.621/0001-53;Comércio (Atacado e Varejo);2016;1014089.89451962;85738.6531126067;0;25209.8900632099;374678.223574482;656399.01413728;246742.337206521;295232.62425274;287012.768445943;1014089.89451962
08.764.621/0001-53;Comércio (Atacado e Varejo);2017;770520.133676649;-89669.8909883712;0;20894.9072334601;354983.305725027;510513.797875018;328781.319556543;265829.871050855;259712.151825189;770520.133676649
08.764.621/0001-53;Comércio (Atacado e Varejo);2018;627084.318173497;116608.083520331;0;23217.9661951193;291942.628758214;937478.50286139;-450220.234403344;221905.399823466;217275.172708467;627084.318173497
08.764.621/0001-53;Comércio (Atacado e Varejo);2019;659532.86691958;32266.0782725516;0;21606.6948351307;180850.213376466;647170.111347341;-41510.0175354426;101701.478611988;98546.3688622664;659532.86691958
08.764.621/0001-53;Comércio (Atacado e Varejo);2020;642012.33391326;66385.0717398;0;20481.95495556;117325.85519646;1102977.94722426;-547832.64000636;35205.74917794;32423.39108478;642012.33391326
08.764.621/0001-53;Comércio (Atacado e Varejo);2021;516806.3052;21660.3;0;19485.8172;160749.0108;746646.39;-270986202;69377.4126;66169575;516806.3052
08.764.621/0001-53;Comércio (Atacado e Varejo);2022;673826;36386;0;21125;172921;703087;-86772;99794;96788;673826
08.769.451/0001-08;Securitização de Recebíveis;2016;48465.6584260377;72.7004467338437;0;1213.36320356965;1019.454531138;47980.067988655;-800.473212920812;-3119.40904080286;-3137.87243274604;48465.6584260377
08.769.451/0001-08;Securitização de Recebíveis;2017;6043.19261830002;2115.74631637242;0;1034.19919298862;4189.20466674448;0.597520343263329;2892.64958859571;-253.697723862363;-293.956474167443;6043.19261830002
08.769.451/0001-08;Securitização de Recebíveis;2019;6828.00591542429;-518.996197327608;0;9195.54800906095;19473.8503225699;0;-1848.54589630906;1573.92553082335;858.94475548392;6828.00591542429
08.769.451/0001-08;Securitização de Recebíveis;2020;12064.2212907;918.57200994;0;5498.69020326;23786.7291603;6138.09972342;-491.14064592;6155.47498212;5633.05887054;12064.2212907
08.769.451/0001-08;Securitização de Recebíveis;2021;13687.1964;8957.8548;0;8305.9326;27298.3176;3119.0832;-6695.6742;10681.1694;10110.6054;13687.1964
08.769.451/0001-08;Securitização de Recebíveis;2022;29628;7716;0;16643;21305;1578;3691;-1205;-1489;29628
08.773.135/0001-00;Energia Elétrica;2019;37510.4804063865;11982.8842296736;0;3918.48177889073;1798114.95113004;7385.71511581596;14223.3992820063;29350.5052292893;29127.9054616709;37510.4804063865
08.773.135/0001-00;Energia Elétrica;2020;149702.91225804;46470.70856844;24438.88053684;8230.0808709;992020.70351664;6779.82594474;63783.41633712;148665.03013836;147821.75091612;149702.91225804
08.773.135/0001-00;Energia Elétrica;2021;23216.6718;55431.3492;0;32794.7508;1575383.2038;43138.8648;-108148293;8622.9126;7383.5208;23216.6718
08.773.135/0001-00;Energia Elétrica;2022;480273;109254;0;44203;2347964;237598;89218;396432;394424;480273
08.773.191/0001-36;Energia Elétrica;2015;0;0;0;0;0;0;0;0;0;0
08.773.191/0001-36;Energia Elétrica;2016;357798.52295306;-31805.6885842312;258327.36888053;51689.9624609454;87490.5359511154;34687.8184153262;44899.0617804895;78016.6441954012;44105.1978214111;357798.52295306
08.773.191/0001-36;Energia Elétrica;2017;246344.431935639;66409.7445843129;118299.875575761;3668.80105732364;-3077.81813575903;10228.4499898228;47737.5607284188;246530.094711883;215589.785296164;246344.431935639
08.773.191/0001-36;Energia Elétrica;2018;31289.3397689508;23130.9602934486;0;40646.8875413931;64074.1722825608;73736.8711883991;-106225.37925429;41706.089822602;11208.6298543646;31289.3397689508
08.773.191/0001-36;Energia Elétrica;2019;-21716.7849375942;140.334636107232;0;704.092743227664;0;4530.63113984124;-27091.8434567703;-3261.57050814739;-3261.57050814739;-21716.7849375942
08.773.191/0001-36;Energia Elétrica;2020;-91196.9411634;0;0;0;0;3500.53545276;-94697.47661616;-2961.90243306;-2961.90243306;-91196.9411634
08.773.191/0001-36;Energia Elétrica;2021;-15933528;0;0;0;0;4622625;-20556153;-2373.1236;-2373.1236;-15933528
08.773.191/0001-36;Energia Elétrica;2022;-15757;4;0;0;0;5795;-21556;-2027;-2027;-15757
08.795.211/0001-70;Serviços Transporte e Logística;2018;34477.034253351;6933.99207662853;0;6399.34711563735;89474.8517500286;22606.4029732308;-1462.70791214568;46763.7807153747;31968.9945660598;34477.034253351
08.797.760/0001-83;"Construção Civil; Mat. Constr. e Decoração";2019;395120.636429332;87818.0278881377;0;60438.2564710784;1355149.88203891;0;246864.352070116;376240.788747526;374843.491293183;395120.636429332
08.797.760/0001-83;"Construção Civil; Mat. Constr. e Decoração";2020;366621.43362174;63249.41671974;0;56086.17673302;1371548.47930074;27201.54667014;220084.29349884;348532.63096446;346891.2481926;366621.43362174
08.797.760/0001-83;"Construção Civil; Mat. Constr. e Decoração";2021;534428.28;80520.3162;0;68224662;1944128151;52527.8124;333155.4894;508566.9384;507047.5476;534428.28
08.797.760/0001-83;"Construção Civil; Mat. Constr. e Decoração";2022;637603;107706;0;92989;2326295;88468;348440;575045;573193;637603
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2010;385446.96905139;46128.4976154621;0;24821.1560178622;502102.032413508;99997.7158616548;214499.599556411;349448.744778685;333071.469541227;385446.96905139
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2011;463370.067663055;54807.111860446;0;36873.7376189536;600399.05684073;132207.02450247;239482.193681186;361499.758540662;360847.737745758;463370.067663055
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2012;541530.400336459;67403.1692145947;0;53475.6674380404;882875.279516524;117803.084261316;302848.479422508;494897.39813221;473747.181257419;541530.400336459
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2013;498176.136168329;63421.3141925164;0;42662.5127095528;559222.389418229;72856.3733206428;319235.935945617;380414.229881279;366432.959800362;498176.136168329
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2014;522898.52977911;94596.2980971635;0;51419.6167542105;630659.294489366;142735.418509997;234147.196417738;408583.065904261;395328.916657376;522898.52977911
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2015;527913.885319697;74686.6233153613;0;33739.3458172805;583335.569206104;344898.388623337;74589.5275637182;405566.098855874;368514.074453122;527913.885319697
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2016;547667.907918347;76673.803125638;0;35033.6201737722;604621.592087622;416638.643174247;19321.8414446891;391054.695177777;347031.574816542;547667.907918347
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2017;745501.420835635;80066.4185129464;0;43059.3817608123;988957.619864778;331521.806732648;290853.813829228;772797.771396485;702761.06525372;745501.420835635
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2018;384146.187337453;74135.3329989491;0;46208.9604728367;671271.96762636;201129.903650611;62671.9902150557;444529.544052039;383750.247437096;384146.187337453
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2019;435356.754207698;83068.4263247153;0;44813.9303906913;596867.402990973;190399.017538487;117075.379953804;433441.670337372;380092.732552401;435356.754207698
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2020;372254.49249228;58973.94472896;0;39719.8413882;585034.22723364;125302.25729034;148258.44908478;425187.63894654;344880.35158572;372254.49249228
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2021;1939429.4508;191888.0694;0;83461.8906;2615121.43112423;180412.3368;1483667154;1999060.23512423;1918795.61612423;1939429.4508
08.801.621/0001-86;"Construção Civil; Mat. Constr. e Decoração";2022;277726;53436;0;37800;500474;219429;-32939;271495;205774;277726
08.807.432/0001-10;Educação;2010;1651361.67986828;270786.17910812;0;980878.613873291;2018748.95377607;239479.661822787;160217.225064082;1629085.01015475;1564054.61427856;1651361.67986828
08.807.432/0001-10;Educação;2011;1691035.54825429;319994.618198022;0;990101.984206224;2137228.88471865;249871.556547832;131067.389302208;1702708.40191205;1623834.43652739;1691035.54825429
08.807.432/0001-10;Educação;2012;1908981.63073639;350549.156594778;0;1056591.65336969;2401627.01246254;307949.985975006;193890.834796917;1946558.84012413;1838361.29522743;1908981.63073639
08.807.432/0001-10;Educação;2013;2318662.85578516;389464.86675972;0;1211881.11372391;2854961.97931459;308313.32985132;409003.545450207;2308896.85924208;2189000.57376874;2318662.85578516
08.807.432/0001-10;Educação;2014;3118409.92790134;462642.813526976;0;1569450.81151664;3779040.52925252;416615.168457128;669701.134400598;3087549.6615993;2917717.50064748;3118409.92790134
08.807.432/0001-10;Educação;2015;3476264.93668768;522846.343811147;0;1614675.22012962;4188179.55500718;646687.691395833;692055.681351077;3364858.98470682;3129957.23178682;3476264.93668768
08.807.432/0001-10;Educação;2016;3307151.13946425;538172.487648488;0;1619240.28073591;4246901.72911077;654445.301478666;495293.069601179;3331477.0149154;3073288.23584467;3307151.13946425
08.807.432/0001-10;Educação;2017;3301341.73602877;531457.082029049;0;1624482.61043147;4307823.56849914;590257.267756047;555144.775812203;3428648.87122103;3174641.27357014;3301341.73602877
08.807.432/0001-10;Educação;2018;3282258.55092046;492226.431538955;0;1427894.20288152;4338182.34887804;548982.020440401;813155.896059587;3398764.49707796;3152392.78551366;3282258.55092046
08.807.432/0001-10;Educação;2019;2940316.70112699;449425.301477448;0;1275085.34279569;4108661.82600563;434117.938109648;781688.118744197;3237703.9417584;2801034.57479056;2940316.70112699
08.807.432/0001-10;Educação;2020;2557091.33916624;376396.75416636;0;1331980.38183852;4021775.8385013;734986.18486638;113728.01829498;2872661.94602622;2248385.11784334;2557091.33916624
08.807.432/0001-10;Educação;2021;2744314.5762;428974317;0;1391209371;4267531.3248;757007.4096;167123.4786;3148804.3014;2431360.2222;2744314.5762
08.807.432/0001-10;Educação;2022;2562108;413541;0;1267444;4134238;936567;-55444;2979826;2271284;2562108
08.810.422/0001-34;"Construção Civil; Mat. Constr. e Decoração";2022;903889;297089;8579;141909;1783813;301129;155183;716864;642235;903889
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2010;323880.729392808;79188.9426187671;0;49537.0366460841;1614618.58255567;117372.127808537;77782.6223194196;267995.388118596;251608.181240606;323880.729392808
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2011;242970.224695757;131091.676609755;0;43446.2566919372;1519806.29354221;140431.080488619;-71998.789094555;183703.589518878;169723.441644194;242970.224695757
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2012;246949.331220962;77956.1817296383;0;44085.7842755761;1137188.73973877;76068.306123932;48839.059091816;203538.798332446;197505.727693611;246949.331220962
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2013;219244.366000505;45816.4465580514;0;31178.3158504994;890906.920649282;43351.1299568138;98898.47363514;158057.715059415;154317.119429876;219244.366000505
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2014;162659.123627912;41305.9330696212;0;31519.5123293993;603449.268720653;29241.2587551483;60592.4194737432;134259.622926786;130664.450677364;162659.123627912
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2015;124272.566952278;29312.9218453151;0;25297.7269391323;561329.102671933;34279.0839661201;35382.8342017102;106641.120756849;104720.623904497;124272.566952278
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2016;70098.1875866272;23152.5714302761;0;13264.2557772803;424762.966199528;29825.0652829372;3856.29509613363;54763.1578550728;53062.4052376573;70098.1875866272
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2017;115296.584047367;30329.7142290579;0;14216.2772260442;594775.933634205;24402.8877169951;46347.7048752702;104020.839101409;102638.828154299;115296.584047367
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2018;167752.422241563;34701.4842605596;0;16635.7805904638;707983.414311023;19324.1368565798;97091.0205339595;153455.713355435;151619.762734673;167752.422241563
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2019;292251.718818694;45507.1351018072;0;39102.5526573961;986546.442927112;24938.4326613317;182703.598398159;259842.886347343;258385.099825712;292251.718818694
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2020;314441.21504448;46154.4788601;0;33070.909059;1039047.42036348;22512.5435223;212703.28360308;265863.46677102;264921.72774948;314441.21504448
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2021;243000.0378;40050423;0;26792.2062;841440.3156;36723.1896;139434219;214649.3466;213346.5588;243000.0378
08.811.643/0001-27;"Construção Civil; Mat. Constr. e Decoração";2022;205966;42836;0;25837;782514;67544;69749;150271;148738;205966
08.827.501/0001-58;"Saneamento; Serv. Água e Gás";2013;629939.369349324;215288.159630925;60782.171878378;126344.550861529;1260772.93827944;152465.207027048;75059.2799514436;629513.162072499;563778.628777534;629939.369349324
08.827.501/0001-58;"Saneamento; Serv. Água e Gás";2014;800875.360048996;240380.926156124;0;185674.519542376;1632448.92830739;198226.94151432;176592.972836176;777968.527322808;689612.252482191;800875.360048996
08.827.501/0001-58;"Saneamento; Serv. Água e Gás";2015;930747.024342557;273837.149328885;0;165399.757166638;1652569.69296575;327081.318196826;164428.799650207;870129.289864542;744026.182418052;930747.024342557
08.827.501/0001-58;"Saneamento; Serv. Água e Gás";2016;1027514.26862085;301237.734166921;0;221044.018978657;2040958.30771613;366469.132024757;138763.383450511;990187.861690686;844813.878865679;1027514.26862085
08.827.501/0001-58;"Saneamento; Serv. Água e Gás";2017;1292168.46818893;456916.092335863;0;244222.384852234;2376066.44841559;401434.301863137;189595.6891377;1282340.10840707;1113655.01631491;1292168.46818893
08.827.501/0001-58;"Saneamento; Serv. Água e Gás";2018;1998327.59142659;439707.651762345;0;249856.991451512;3058605.467333;1086649.49079832;222113.457414418;1401183.3910686;1156066.3298255;1998327.59142659
08.827.501/0001-58;"Saneamento; Serv. Água e Gás";2019;2521635.57298913;576118.44312998;0;372278.754840188;3634929.59772934;1217064.22945343;356174.145565538;1824860.79712192;1530021.35600467;2521635.57298913
08.827.501/0001-58;"Saneamento; Serv. Água e Gás";2020;2936145.34956312;580763.38864518;0;295831.1546262;3485791.96657776;1479286.66674654;580264.1395452;1932592.107672;1616963.58328302;2936145.34956312
