ANO,CONTA,VALOR,VALOR_RELATIVO
2013,VALP,1364572445.34,33.7152854090631
2013,VATD,1471258013.09,36.3512278084591
2014,Distribuição,1442334843.05,34.6162343750024
2014,Governo,557712634.67,38.6673481097251
2014,Outros,6041486.36,0.418868502630396
2014,Pessoal,378336473.04,26.2308350147015
2014,RCP,162534094.76,11.2688184399887
2014,RCT,337710154.22,23.4141299329543
2014,Receitas,4166642816.85,100
2014,VAB,1481604601.1,35.5587139629141
2014,VALP,1256180101.28,30.1484949993788
2014,VATD,1442334843.05,34.6162343750024
2015,Distribuição,1403807445.34,34.6254174970325
2015,Governo,473229810.01,33.7104502174359
2015,Outros,-9922763.17,-0.706846455540541
2015,Pessoal,376546074.02,26.8231996681568
2015,RCP,11140620.59,0.793600335073145
2015,RCT,552813703.88,39.3795962341623
2015,Receitas,4054268646.61,100
2015,VAB,1378140696.19,33.9923378620295
2015,VALP,1161507171.24,28.6489937515907
2015,VATD,1403807445.34,34.6254174970325
2016,Distribuição,1496612037.2,37.1621847763269
2016,Governo,597729962.04,39.938871743828
2016,Outros,-1107316.43,-0.073988208198009
2016,Pessoal,370023403.87,24.7240697437042
2016,RCP,176862427.68,11.8175200575622
2016,RCT,353103560.04,23.5935266631036
2016,Receitas,4027244485.78,100
2016,VAB,1547102366.33,38.4159037722379
2016,VALP,1316417330.65,32.687792740128
2016,VATD,1496612037.2,37.1621847763269
2017,Distribuição,1522709291.51,39.202496664881
2017,Governo,584994056.89,38.417973814942
2017,Outros,5806560.18,0.381330843147473
2017,Pessoal,364203448.26,23.9181208317732
2017,RCP,207431433.57,13.6225236640081
2017,RCT,360273792.61,23.6600508461292
2017,Receitas,3884215091.01,100
2017,VAB,1590737835.75,40.9539069922198
2017,VALP,1365898596.35,35.1653696910701
2017,VATD,1522709291.51,39.202496664881
2018,Distribuição,1763109464.04,42.6672900500119
2018,Governo,625290302.75,35.4652002897884
2018,Outros,8533850.35,0.48402271804755
2018,Pessoal,373324100.45,21.1741873130533
2018,RCP,353864236.33,20.0704632098766
2018,RCT,402096974.16,22.8061264692342
2018,Receitas,4132227432.24,100
2018,VAB,1757702957.52,42.5364524664409
2018,VALP,1528242610.94,36.9835067406145
2018,VATD,1763109464.04,42.6672900500119
2019,Distribuição,1623865920.22,37.6664198887405
2019,Governo,562293983.98,34.6268726363702
2019,Outros,42854711.28,2.63905478564351
2019,Pessoal,404568812.29,24.9139296078822
2019,RCP,285313511.02,17.5700165553906
2019,RCT,328834901.65,20.2501264147135
2019,Receitas,4311176705.98,100
2019,VAB,1737425943.19,40.300504054497
2019,VALP,1429048427.48,33.147526184621
2019,VATD,1623865920.22,37.6664198887405
2020,Distribuição,1609457752.44,36.0263263628798
2020,Governo,525733139.28,32.6652338952649
2020,Outros,14179403.04,0.881004985592413
2020,Pessoal,399050347.48,24.7940865098835
2020,RCP,194413582.16,12.0794461280678
2020,RCT,476081280.47,29.5802284805701
2020,Receitas,4467448987.8,100
2020,VAB,1714102281.71,38.3687040723013
2020,VALP,1404819830.93,31.4456826427425
2020,VATD,1609457752.44,36.0263263628798
2021,Distribuição,2217215581.97,40.8616828925706
2021,Governo,752186335.7,33.9248173166671
2021,Outros,10832642.52,0.488569655025389
2021,Pessoal,432176761.12,19.4918692000175
2021,RCP,643933552.69,29.0424421479964
2021,RCT,378086289.94,17.0523016802935
2021,Receitas,5426148472.15,100
2021,VAB,2336656604.67,43.0628947339539
2021,VALP,2033373614.19,37.4736081149714
2021,VATD,2217215581.97,40.8616828925706
2022,Distribuição,2268080687.73,36.3837327400665
2022,Governo,759665542.36,33.4937617726602
2022,Outros,20732563,0.914101650446577
2022,Pessoal,460905001.03,20.3213670273475
2022,RCP,585151921.2,25.7994314031944
2022,RCT,441625660.14,19.4713381463514
2022,Receitas,6233776792.32,100
2022,VAB,2347951473.67,37.6649910943663
2022,VALP,1999660248.37,32.0778288185355
2022,VATD,2268080687.73,36.3837327400665
2023,Distribuição,4661957928,0.423339532466949
2023,Governo,1481142753,31.7708305367616
2023,Outros,273862479,5.87440906223468
2023,Pessoal,1209900198,25.9526194076799
2023,RCP,1029242933,22.0774822273342
2023,RCT,667809565,14.3246587659896
2023,Receitas,11012337782,100
2023,VAB,2994838186,27.1952989935993
2023,VALP,4043139428,36.714633241714
2023,VATD,4636856118,42.1060106381688
