CNPJ_CIA,DENOM_CIA,CD_CVM,CD_CONTA,DS_CONTA,VL_CONTA,SETOR_ATIV,MUN,UF,ANO
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5.1,Pessoal,193899,Energia Elétrica,SÃO PAULO,SP,2023
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5.2,"Impostos, Taxas e Contribuições",704835,Energia Elétrica,SÃO PAULO,SP,2023
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5.3,Remuneração de Capitais de Terceiros,1118701,Energia Elétrica,SÃO PAULO,SP,2023
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5.4,Remuneração de Capitais Próprios,333287,Energia Elétrica,SÃO PAULO,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,1,Receitas,4046645,Energia Elétrica,BAURU,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,2,Valor Adicionado Bruto,2224354,Energia Elétrica,BAURU,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,3,Valor Adicionado Líquido Produzido,1619899,Energia Elétrica,BAURU,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,4,Valor Adicionado Total a Distribuir,1913424,Energia Elétrica,BAURU,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5,Distribuição do Valor Adicionado,1913424,Energia Elétrica,BAURU,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5.1,Pessoal,182770,Energia Elétrica,BAURU,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5.2,"Impostos, Taxas e Contribuições",635710,Energia Elétrica,BAURU,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5.3,Remuneração de Capitais de Terceiros,760854,Energia Elétrica,BAURU,SP,2023
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,26174,5.4,Remuneração de Capitais Próprios,334090,Energia Elétrica,BAURU,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,1,Receitas,495678,Comunicação e Informática,SÃO PAULO,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,2,Valor Adicionado Bruto,401436,Comunicação e Informática,SÃO PAULO,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,3,Valor Adicionado Líquido Produzido,272484,Comunicação e Informática,SÃO PAULO,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,4,Valor Adicionado Total a Distribuir,298862,Comunicação e Informática,SÃO PAULO,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,5,Distribuição do Valor Adicionado,298862,Comunicação e Informática,SÃO PAULO,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,5.1,Pessoal,96150,Comunicação e Informática,SÃO PAULO,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,5.2,"Impostos, Taxas e Contribuições",11246,Comunicação e Informática,SÃO PAULO,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,5.3,Remuneração de Capitais de Terceiros,180079,Comunicação e Informática,SÃO PAULO,SP,2023
04.212.396/0001-91,AGASUS S.A.,27324,5.4,Remuneração de Capitais Próprios,11387,Comunicação e Informática,SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,1,Receitas,9507488,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,2,Valor Adicionado Bruto,834273,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,3,Valor Adicionado Líquido Produzido,686853,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,4,Valor Adicionado Total a Distribuir,2175244,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5,Distribuição do Valor Adicionado,2175244,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5.1,Pessoal,411653,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5.2,"Impostos, Taxas e Contribuições",76442,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5.3,Remuneração de Capitais de Terceiros,2054441,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A.,25658,5.4,Remuneração de Capitais Próprios,-367292,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,1,Receitas,1294782,Serviços Médicos,SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2,Valor Adicionado Bruto,623450,Serviços Médicos,SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,3,Valor Adicionado Líquido Produzido,510147,Serviços Médicos,SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,4,Valor Adicionado Total a Distribuir,526262,Serviços Médicos,SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5,Distribuição do Valor Adicionado,526262,Serviços Médicos,SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5.1,Pessoal,325113,Serviços Médicos,SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5.2,"Impostos, Taxas e Contribuições",165750,Serviços Médicos,SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5.3,Remuneração de Capitais de Terceiros,253958,Serviços Médicos,SÃO PAULO,SP,2023
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,5.4,Remuneração de Capitais Próprios,-218559,Serviços Médicos,SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,1,Receitas,6776760,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,2,Valor Adicionado Bruto,859126,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,3,Valor Adicionado Líquido Produzido,794216,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,4,Valor Adicionado Total a Distribuir,839116,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5,Distribuição do Valor Adicionado,839116,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5.1,Pessoal,173575,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5.2,"Impostos, Taxas e Contribuições",409595,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5.3,Remuneração de Capitais de Terceiros,163851,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330,5.4,Remuneração de Capitais Próprios,122444,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
05.878.397/0001-32,ALLOS S.A.,22357,1,Receitas,-1972190,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
05.878.397/0001-32,ALLOS S.A.,22357,2,Valor Adicionado Bruto,6553457,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
05.878.397/0001-32,ALLOS S.A.,22357,3,Valor Adicionado Líquido Produzido,5868991,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
05.878.397/0001-32,ALLOS S.A.,22357,4,Valor Adicionado Total a Distribuir,6300403,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
05.878.397/0001-32,ALLOS S.A.,22357,5,Distribuição do Valor Adicionado,6300403,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
05.878.397/0001-32,ALLOS S.A.,22357,5.1,Pessoal,344036,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
05.878.397/0001-32,ALLOS S.A.,22357,5.2,"Impostos, Taxas e Contribuições",1619386,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
05.878.397/0001-32,ALLOS S.A.,22357,5.3,Remuneração de Capitais de Terceiros,843071,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
05.878.397/0001-32,ALLOS S.A.,22357,5.4,Remuneração de Capitais Próprios,3493910,Comércio (Atacado e Varejo),RIO DE JANEIRO,RJ,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,1,Receitas,1569977,Serviços Transporte e Logística,SÃO PAULO,SP,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,2,Valor Adicionado Bruto,730772,Serviços Transporte e Logística,SÃO PAULO,SP,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,3,Valor Adicionado Líquido Produzido,496311,Serviços Transporte e Logística,SÃO PAULO,SP,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,4,Valor Adicionado Total a Distribuir,539912,Serviços Transporte e Logística,SÃO PAULO,SP,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5,Distribuição do Valor Adicionado,539912,Serviços Transporte e Logística,SÃO PAULO,SP,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5.1,Pessoal,49189,Serviços Transporte e Logística,SÃO PAULO,SP,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5.2,"Impostos, Taxas e Contribuições",213636,Serviços Transporte e Logística,SÃO PAULO,SP,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5.3,Remuneração de Capitais de Terceiros,345167,Serviços Transporte e Logística,SÃO PAULO,SP,2023
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",24953,5.4,Remuneração de Capitais Próprios,-68080,Serviços Transporte e Logística,SÃO PAULO,SP,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,1,Receitas,24462211,Comércio (Atacado e Varejo),NA,NA,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,2,Valor Adicionado Bruto,4682909,Comércio (Atacado e Varejo),NA,NA,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,3,Valor Adicionado Líquido Produzido,3919208,Comércio (Atacado e Varejo),NA,NA,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,4,Valor Adicionado Total a Distribuir,4071673,Comércio (Atacado e Varejo),NA,NA,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5,Distribuição do Valor Adicionado,4071673,Comércio (Atacado e Varejo),NA,NA,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5.1,Pessoal,2331991,Comércio (Atacado e Varejo),NA,NA,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5.2,"Impostos, Taxas e Contribuições",552501,Comércio (Atacado e Varejo),NA,NA,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5.3,Remuneração de Capitais de Terceiros,830663,Comércio (Atacado e Varejo),NA,NA,2023
23.041.875/0001-37,ALMACENES ÉXITO S.A.,80225,5.4,Remuneração de Capitais Próprios,356518,Comércio (Atacado e Varejo),NA,NA,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,1,Receitas,281139,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,2,Valor Adicionado Bruto,252669,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,3,Valor Adicionado Líquido Produzido,249973,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,4,Valor Adicionado Total a Distribuir,368410,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5,Distribuição do Valor Adicionado,368410,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5.1,Pessoal,11736,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5.2,"Impostos, Taxas e Contribuições",35131,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5.3,Remuneração de Capitais de Terceiros,172604,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,26395,5.4,Remuneração de Capitais Próprios,148939,Comércio (Atacado e Varejo),SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,1,Receitas,4155346,Têxtil e Vestuário,SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,2,Valor Adicionado Bruto,281436,Têxtil e Vestuário,SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,3,Valor Adicionado Líquido Produzido,70186,Têxtil e Vestuário,SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,4,Valor Adicionado Total a Distribuir,-249548,Têxtil e Vestuário,SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,5,Distribuição do Valor Adicionado,-249548,Têxtil e Vestuário,SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,5.1,Pessoal,874684,Têxtil e Vestuário,SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,5.2,"Impostos, Taxas e Contribuições",459046,Têxtil e Vestuário,SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,5.3,Remuneração de Capitais de Terceiros,284206,Têxtil e Vestuário,SÃO PAULO,SP,2023
61.079.117/0001-05,ALPARGATAS S.A.,10456,5.4,Remuneração de Capitais Próprios,-1867484,Têxtil e Vestuário,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,1,Receitas,360575,Seguradoras e Corretoras,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,2,Valor Adicionado Bruto,278301,Seguradoras e Corretoras,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,3,Valor Adicionado Líquido Produzido,258402,Seguradoras e Corretoras,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,4,Valor Adicionado Total a Distribuir,245123,Seguradoras e Corretoras,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5,Distribuição do Valor Adicionado,245123,Seguradoras e Corretoras,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5.1,Pessoal,153845,Seguradoras e Corretoras,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5.2,"Impostos, Taxas e Contribuições",48410,Seguradoras e Corretoras,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5.3,Remuneração de Capitais de Terceiros,48526,Seguradoras e Corretoras,SÃO PAULO,SP,2023
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,22217,5.4,Remuneração de Capitais Próprios,-5658,Seguradoras e Corretoras,SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,1,Receitas,492591,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,2,Valor Adicionado Bruto,94229,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,3,Valor Adicionado Líquido Produzido,-149313,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,4,Valor Adicionado Total a Distribuir,-123996,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5,Distribuição do Valor Adicionado,-123996,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5.1,Pessoal,49931,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5.2,"Impostos, Taxas e Contribuições",38471,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5.3,Remuneração de Capitais de Terceiros,368571,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
16.811.931/0001-00,ALPHAVILLE S.A.,25275,5.4,Remuneração de Capitais Próprios,-580969,"Construção Civil, Mat. Constr. e Decoração",SÃO PAULO,SP,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,1,Receitas,3377467,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,2,Valor Adicionado Bruto,566369,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,3,Valor Adicionado Líquido Produzido,502716,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,4,Valor Adicionado Total a Distribuir,713381,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5,Distribuição do Valor Adicionado,713381,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5.1,Pessoal,115766,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5.2,"Impostos, Taxas e Contribuições",17168,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5.3,Remuneração de Capitais de Terceiros,454873,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,27430,5.4,Remuneração de Capitais Próprios,125574,Metalurgia e Siderurgia,BARCARENA,PA,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,1,Receitas,3975296,Energia Elétrica,SÃO PAULO,SP,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,2,Valor Adicionado Bruto,3050354,Energia Elétrica,SÃO PAULO,SP,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,3,Valor Adicionado Líquido Produzido,2895641,Energia Elétrica,SÃO PAULO,SP,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,4,Valor Adicionado Total a Distribuir,3283181,Energia Elétrica,SÃO PAULO,SP,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5,Distribuição do Valor Adicionado,3283181,Energia Elétrica,SÃO PAULO,SP,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5.1,Pessoal,189182,Energia Elétrica,SÃO PAULO,SP,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5.2,"Impostos, Taxas e Contribuições",712328,Energia Elétrica,SÃO PAULO,SP,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5.3,Remuneração de Capitais de Terceiros,1230685,Energia Elétrica,SÃO PAULO,SP,2023
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,21490,5.4,Remuneração de Capitais Próprios,1150986,Energia Elétrica,SÃO PAULO,SP,2023
